NO,NAMA_PENGGUNA,COMMENT,SENTIMEN,komen case folding,komen tokenized,komen normalized,komen stemming,komen bersih
1,@danofficial2452,Kalau anda pintar menilai.... nilai secara global.... pemenang nya El Rumi....itu tanding ulang sampai kapan pun kalah Jefri,Negatif,kalau anda pintar menilai.... nilai secara global.... pemenang nya el rumi....itu tanding ulang sampai kapan pun kalah jefri,"['kalau', 'anda', 'pintar', 'menilai', '....', 'nilai', 'secara', 'global', '....', 'pemenang', 'nya', 'el', 'rumi', '....', 'itu', 'tanding', 'ulang', 'sampai', 'kapan', 'pun', 'kalah', 'jefri']","['pintar', 'menilai', 'nilai', 'global', 'pemenang', 'nya', 'el', 'rumi', 'tanding', 'ulang', 'kalah', 'jefri']","['pintar', 'nilai', 'nilai', 'global', 'menang', 'nya', 'el', 'rumi', 'tanding', 'ulang', 'kalah', 'jefri']",pintar nilai nilai global menang nya el rumi tanding ulang kalah jefri
2,@indriSaman,Pantas menang elrumi.. lebih cerdik Elrumi,Positif,pantas menang elrumi.. lebih cerdik elrumi,"['pantas', 'menang', 'elrumi', '..', 'lebih', 'cerdik', 'elrumi']","['menang', 'elrumi', 'cerdik', 'elrumi']","['menang', 'elrumi', 'cerdik', 'elrumi']",menang elrumi cerdik elrumi
3,@smsun1030,Jefri hanya nganalin pukulan 1 2 tapi Elrumi kombinasi pukulan masih bisa berkembang pesat Elrumi kalau dibina beneran,Positif,jefri hanya nganalin pukulan 1 2 tapi elrumi kombinasi pukulan masih bisa berkembang pesat elrumi kalau dibina beneran,"['jefri', 'hanya', 'nganalin', 'pukulan', '1', '2', 'tapi', 'elrumi', 'kombinasi', 'pukulan', 'masih', 'bisa', 'berkembang', 'pesat', 'elrumi', 'kalau', 'dibina', 'beneran']","['jefri', 'nganalin', 'pukulan', 'elrumi', 'kombinasi', 'pukulan', 'berkembang', 'pesat', 'elrumi', 'dibina', 'beneran']","['jefri', 'nganalin', 'pukul', 'elrumi', 'kombinasi', 'pukul', 'kembang', 'pesat', 'elrumi', 'bina', 'beneran']",jefri nganalin pukul elrumi kombinasi pukul kembang pesat elrumi bina beneran
4,@user-cv7qm7ld8m,Heleeeehhhh jeprii ninju angin doank..wuuzz wuuzzz 😅😅😅😅,Negatif,heleeeehhhh jeprii ninju angin doank..wuuzz wuuzzz 😅😅😅😅,"['heleeeehhhh', 'jeprii', 'ninju', 'angin', 'doank', '..', 'wuuzz', 'wuuzzz', '😅😅😅😅']","['heleeeehhhh', 'jeprii', 'ninju', 'angin', 'doank', 'wuuzz', 'wuuzzz']","['heleeeehhhh', 'jeprii', 'ninju', 'angin', 'doank', 'wuuzz', 'wuuzzz']",heleeeehhhh jeprii ninju angin doank wuuzz wuuzzz
5,@user-xc9xj4ki2y,El rumi cowok lemah...cuma menang gaya sama bacotnya aja,Negatif,el rumi cowok lemah...cuma menang gaya sama bacotnya aja,"['el', 'rumi', 'cowok', 'lemah', '...', 'cuma', 'menang', 'gaya', 'sama', 'bacotnya', 'aja']","['el', 'rumi', 'cowok', 'lemah', 'menang', 'gaya', 'bacotnya', 'aja']","['el', 'rumi', 'cowok', 'lemah', 'menang', 'gaya', 'bacot', 'aja']",el rumi cowok lemah menang gaya bacot aja
6,@mtaqiyuddin4910,Hahah penilain konyol,Negatif,hahah penilain konyol,"['hahah', 'penilain', 'konyol']","['hahah', 'penilain', 'konyol']","['hahah', 'penilain', 'konyol']",hahah penilain konyol
7,@semutireng8332,"Jefri power dan pukulan good tapi jarang in dan buang2 tenaga
El teknik pukulan masih gaya tarung bebas dan kurang power tapi sering hit masuk dan kebantj badannya yg gede
Harus diperbaiki teknik pukulannya, kalau tekniknya baik yakin sih jefri bisa di TKO el... Gimanaoun dalam bela diri postur berat pengaruhnya gede
Btw si jefri biar intropeksi jangan kebanyakan gaya sok nantangin orang2 gk terlatih giliran ketemu lawannya mewek dipojokan ini baru el si anak mama
Bayangin musuhnya rendy panggalila atau level atlit beneran macam crisjohn dkk jadi ayam geprek si nicole",Negatif,"jefri power dan pukulan good tapi jarang in dan buang2 tenaga
el teknik pukulan masih gaya tarung bebas dan kurang power tapi sering hit masuk dan kebantj badannya yg gede
harus diperbaiki teknik pukulannya, kalau tekniknya baik yakin sih jefri bisa di tko el... gimanaoun dalam bela diri postur berat pengaruhnya gede
btw si jefri biar intropeksi jangan kebanyakan gaya sok nantangin orang2 gk terlatih giliran ketemu lawannya mewek dipojokan ini baru el si anak mama
bayangin musuhnya rendy panggalila atau level atlit beneran macam crisjohn dkk jadi ayam geprek si nicole","['jefri', 'power', 'dan', 'pukulan', 'good', 'tapi', 'jarang', 'in', 'dan', 'buang2', 'tenaga', 'el', 'teknik', 'pukulan', 'masih', 'gaya', 'tarung', 'bebas', 'dan', 'kurang', 'power', 'tapi', 'sering', 'hit', 'masuk', 'dan', 'kebantj', 'badannya', 'yg', 'gede', 'harus', 'diperbaiki', 'teknik', 'pukulannya', ',', 'kalau', 'tekniknya', 'baik', 'yakin', 'sih', 'jefri', 'bisa', 'di', 'tko', 'el', '...', 'gimanaoun', 'dalam', 'bela', 'diri', 'postur', 'berat', 'pengaruhnya', 'gede', 'btw', 'si', 'jefri', 'biar', 'intropeksi', 'jangan', 'kebanyakan', 'gaya', 'sok', 'nantangin', 'orang2', 'gk', 'terlatih', 'giliran', 'ketemu', 'lawannya', 'mewek', 'dipojokan', 'ini', 'baru', 'el', 'si', 'anak', 'mama', 'bayangin', 'musuhnya', 'rendy', 'panggalila', 'atau', 'level', 'atlit', 'beneran', 'macam', 'crisjohn', 'dkk', 'jadi', 'ayam', 'geprek', 'si', 'nicole']","['jefri', 'power', 'pukulan', 'good', 'jarang', 'in', 'tenaga', 'el', 'teknik', 'pukulan', 'gaya', 'tarung', 'bebas', 'power', 'hit', 'masuk', 'kebantj', 'badannya', 'yg', 'gede', 'diperbaiki', 'teknik', 'pukulannya', 'tekniknya', 'sih', 'jefri', 'tko', 'el', 'gimanaoun', 'bela', 'postur', 'berat', 'pengaruhnya', 'gede', 'btw', 'si', 'jefri', 'biar', 'intropeksi', 'kebanyakan', 'gaya', 'sok', 'nantangin', 'gk', 'terlatih', 'giliran', 'ketemu', 'lawannya', 'mewek', 'dipojokan', 'el', 'si', 'anak', 'mama', 'bayangin', 'musuhnya', 'rendy', 'panggalila', 'level', 'atlit', 'beneran', 'crisjohn', 'dkk', 'ayam', 'geprek', 'si', 'nicole']","['jefri', 'power', 'pukul', 'good', 'jarang', 'in', 'tenaga', 'el', 'teknik', 'pukul', 'gaya', 'tarung', 'bebas', 'power', 'hit', 'masuk', 'kebantj', 'badan', 'yg', 'gede', 'baik', 'teknik', 'pukul', 'teknik', 'sih', 'jefri', 'tko', 'el', 'gimanaoun', 'bela', 'postur', 'berat', 'pengaruh', 'gede', 'btw', 'si', 'jefri', 'biar', 'intropeksi', 'banyak', 'gaya', 'sok', 'nantangin', 'gk', 'latih', 'gilir', 'ketemu', 'lawan', 'mewek', 'pojok', 'el', 'si', 'anak', 'mama', 'bayangin', 'musuh', 'rendy', 'panggalila', 'level', 'atlit', 'beneran', 'crisjohn', 'dkk', 'ayam', 'geprek', 'si', 'nicole']",jefri power pukul good jarang in tenaga el teknik pukul gaya tarung bebas power hit masuk kebantj badan yg gede baik teknik pukul teknik sih jefri tko el gimanaoun bela postur berat pengaruh gede btw si jefri biar intropeksi banyak gaya sok nantangin gk latih gilir ketemu lawan mewek pojok el si anak mama bayangin musuh rendy panggalila level atlit beneran crisjohn dkk ayam geprek si nicole
10,@ardiansyah-3268,Babak terakhir sama2 letoy seharusnya draw,Negatif,babak terakhir sama2 letoy seharusnya draw,"['babak', 'terakhir', 'sama2', 'letoy', 'seharusnya', 'draw']","['babak', 'letoy', 'draw']","['babak', 'letoy', 'draw']",babak letoy draw
14,@ipromotion1686,"Kl mau jujur kemenangan harusnya Jefry. Penilaian tinju bukan berdasarkan pukulan masuk, tapi ronde.
Kl lawan jatuh, otomatis poin 10:8 buat yg Mukul. Kl tdk Ada jatuh 9:8. 
Setidaknya Ada 2 ronde dimenangkan Jefry, 1 ronde draw, 1 ronde dimenangkan el rumi. Otomatis poin   35:34 untuk kemenangan Jefry.",Positif,"kl mau jujur kemenangan harusnya jefry. penilaian tinju bukan berdasarkan pukulan masuk, tapi ronde.
kl lawan jatuh, otomatis poin 10:8 buat yg mukul. kl tdk ada jatuh 9:8. 
setidaknya ada 2 ronde dimenangkan jefry, 1 ronde draw, 1 ronde dimenangkan el rumi. otomatis poin   35:34 untuk kemenangan jefry.","['kl', 'mau', 'jujur', 'kemenangan', 'harusnya', 'jefry', '.', 'penilaian', 'tinju', 'bukan', 'berdasarkan', 'pukulan', 'masuk', ',', 'tapi', 'ronde', '.', 'kl', 'lawan', 'jatuh', ',', 'otomatis', 'poin', '10:8', 'buat', 'yg', 'mukul', '.', 'kl', 'tdk', 'ada', 'jatuh', '9:8.', 'setidaknya', 'ada', '2', 'ronde', 'dimenangkan', 'jefry', ',', '1', 'ronde', 'draw', ',', '1', 'ronde', 'dimenangkan', 'el', 'rumi', '.', 'otomatis', 'poin', '35:34', 'untuk', 'kemenangan', 'jefry', '.']","['kl', 'jujur', 'kemenangan', 'jefry', 'penilaian', 'tinju', 'berdasarkan', 'pukulan', 'masuk', 'ronde', 'kl', 'lawan', 'jatuh', 'otomatis', 'poin', 'yg', 'mukul', 'kl', 'tdk', 'jatuh', 'ronde', 'dimenangkan', 'jefry', 'ronde', 'draw', 'ronde', 'dimenangkan', 'el', 'rumi', 'otomatis', 'poin', 'kemenangan', 'jefry']","['kl', 'jujur', 'menang', 'jefry', 'nilai', 'tinju', 'dasar', 'pukul', 'masuk', 'ronde', 'kl', 'lawan', 'jatuh', 'otomatis', 'poin', 'yg', 'mukul', 'kl', 'tdk', 'jatuh', 'ronde', 'menang', 'jefry', 'ronde', 'draw', 'ronde', 'menang', 'el', 'rumi', 'otomatis', 'poin', 'menang', 'jefry']",kl jujur menang jefry nilai tinju dasar pukul masuk ronde kl lawan jatuh otomatis poin yg mukul kl tdk jatuh ronde menang jefry ronde draw ronde menang el rumi otomatis poin menang jefry
15,@aliali-dz2cy,"Gak spotif ni wasitnya, sekalipun El Rumi menang, seharusnya Poinnya gak selisi 2, 

Mnurut gw, hanya hakim 1 yg memberikan penilaian yg sportif",Negatif,"gak spotif ni wasitnya, sekalipun el rumi menang, seharusnya poinnya gak selisi 2, 

mnurut gw, hanya hakim 1 yg memberikan penilaian yg sportif","['gak', 'spotif', 'ni', 'wasitnya', ',', 'sekalipun', 'el', 'rumi', 'menang', ',', 'seharusnya', 'poinnya', 'gak', 'selisi', '2', ',', 'mnurut', 'gw', ',', 'hanya', 'hakim', '1', 'yg', 'memberikan', 'penilaian', 'yg', 'sportif']","['gak', 'spotif', 'ni', 'wasitnya', 'el', 'rumi', 'menang', 'poinnya', 'gak', 'selisi', 'mnurut', 'gw', 'hakim', 'yg', 'penilaian', 'yg', 'sportif']","['gak', 'spotif', 'ni', 'wasit', 'el', 'rumi', 'menang', 'poin', 'gak', 'lis', 'mnurut', 'gw', 'hakim', 'yg', 'nilai', 'yg', 'sportif']",gak spotif ni wasit el rumi menang poin gak lis mnurut gw hakim yg nilai yg sportif
